timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
57639248,32.38735076638049,-117.07652543517514,16.073418,-19.298798,-0.0,0.03057408,0.016857924,0.0069815624,-1.1171141,1.2452518,1.5638006,0.0,2,0,0,0
57840048,32.387350794828535,-117.07652537139406,16.07257,-19.304985,-0.0,0.03441973,0.018695714,0.007850042,-1.116899,1.2452545,1.5637324,0.0,2,0,0,0
58048050,32.387350839887304,-117.07652530106931,16.069704,-19.313211,-0.0,0.036409397,0.019993447,0.013322751,-1.1172681,1.2455605,1.563535,0.0,2,0,0,0
58248848,32.38735089849818,-117.07652521781158,16.064362,-19.323784,-0.0,0.04328433,0.020512484,0.011601408,-1.1180874,1.24556,1.5634857,0.0,2,0,0,0
58448848,32.38735095614202,-117.07652515986445,16.047712,-19.34538,-0.0,0.04396676,0.019505177,0.021494465,-1.1189687,1.2455871,1.563454,0.0,2,0,0,0
58657660,32.38735101694208,-117.07652510191346,16.026693,-19.371233,-0.0,0.045632403,0.020828974,0.02738126,-1.1196239,1.245877,1.5635047,0.0,2,0,0,0
58857648,32.387351065668405,-117.07652504345691,16.008545,-19.39352,-0.0,0.05018943,0.018212654,0.037050437,-1.120397,1.2459133,1.563475,0.0,2,0,0,0
59058448,32.38735110667903,-117.07652500216005,15.997981,-19.40823,-0.0,0.051525753,0.022512844,0.030564057,-1.1207372,1.2459167,1.5634447,0.0,2,0,0,0
59266448,32.38735114676552,-117.07652497028329,15.995269,-19.414558,-0.0,0.05524711,0.019613102,0.033674724,-1.1215171,1.2461972,1.5632845,0.0,2,0,0,0
59468049,32.38735120496685,-117.07652492968501,15.992633,-19.42044,-0.0,0.055675957,0.014754201,0.036904626,-1.1221951,1.2461983,1.563498,0.0,2,0,0,0
59668049,32.38735128032996,-117.07652488687354,15.994484,-19.421394,-0.0,0.057484318,0.0177683,0.025207825,-1.122737,1.2462558,1.5634962,0.0,2,0,0,0
59868848,32.387351379057876,-117.07652483662561,16.000591,-19.41819,-0.0,0.07366011,0.012296091,-0.04778625,-1.1240404,1.2462499,1.5636997,0.0,2,0,0,0
60076848,32.38735149502958,-117.07652477737145,16.093508,-19.328184,-0.0,0.0916349,0.03178358,-0.5820777,-1.1414322,1.2465615,1.5635108,0.0,2,0,0,0
60277648,32.387351588072804,-117.07652465421877,16.24246,-19.183718,-0.0,0.07569713,0.038535412,-0.71377885,-1.1554952,1.2465692,1.563701,0.0,2,0,0,0
60477660,32.387351637313735,-117.07652454961435,16.39148,-19.039654,-0.0,0.026649162,0.03285439,-0.8136126,-1.1596912,1.2465489,1.5636601,0.0,2,0,0,0
60686450,32.38735160668295,-117.07652445470046,16.573597,-18.863949,-0.0,-0.01925598,0.025189942,-0.84483534,-1.1566441,1.2468965,1.5637015,0.0,2,0,0,0
60886448,32.387351495183935,-117.07652425851825,16.770485,-18.669273,-0.0,-0.057817034,0.032213215,-0.84066623,-1.1589317,1.2469771,1.5636575,0.0,2,0,0,0
61088047,32.38735134275739,-117.07652410049742,16.986511,-18.456959,-0.0,-0.077165715,0.03841967,-0.81659853,-1.1631458,1.2470554,1.5638424,0.0,2,0,0,0
61296047,32.38735113557515,-117.07652398061767,17.200216,-18.248144,-0.0,-0.087466694,0.029215092,-0.792223,-1.1654947,1.2475227,1.5636349,0.0,2,0,0,0
61496849,32.38735091608015,-117.0765239106275,17.382517,-18.071226,-0.0,-0.07166854,0.029138759,-0.76523376,-1.1583499,1.2476091,1.5638146,0.0,2,0,0,0
61696848,32.38735075536111,-117.07652384052243,17.545555,-17.912632,-0.0,-0.044746596,0.048218187,-0.7558044,-1.1416891,1.2477065,1.563762,0.0,2,0,0,0
61905660,32.38735065073571,-117.07652370806291,17.733118,-17.730452,-0.0,0.011808706,0.025558647,-0.82775617,-1.1246872,1.2480466,1.5637946,0.0,2,0,0,0
62105648,32.38735076161613,-117.07652394187072,17.937294,-17.532768,-0.0,0.21609382,-0.26619488,-0.85116017,-1.1268388,1.2479624,1.5639831,0.0,2,0,0,0
62307248,32.38735141800744,-117.07652535188849,18.12953,-17.347532,-0.0,0.6237326,-0.9933672,-0.86816806,-1.1369247,1.247817,1.5639007,0.0,2,0,0,0
62507248,32.38735294116756,-117.07652877411024,18.313139,-17.171103,-0.0,1.1551328,-2.1274633,-1.0629646,-1.1398094,1.24783,1.5640903,0.0,2,0,0,0
62716048,32.387355556341376,-117.0765351540431,18.515097,-16.974756,-0.0,1.7235256,-3.4975932,-1.3687954,-1.1556987,1.248499,1.5641274,0.0,2,0,0,0
62916050,32.38735899150876,-117.0765440616409,18.70093,-16.791845,-0.0,2.2602441,-4.782798,-1.4237847,-1.1585809,1.2493827,1.5641307,0.0,2,0,0,0
63116849,32.38736345397463,-117.07655591862664,18.810497,-16.681091,-0.0,2.9175026,-5.8647227,-1.2980044,-0.98842615,1.2507232,1.5641947,0.0,2,0,0,0
63324848,32.387369425252146,-117.07657030298698,18.843504,-16.640696,-0.0,3.5960922,-6.6295133,-1.339734,-0.7647754,1.252753,1.5642004,0.0,2,0,0,0
63525648,32.387376460100974,-117.07658559695159,18.876894,-16.592371,-0.0,4.114006,-7.1430464,-1.5474648,-0.73070055,1.2542137,1.5646372,0.0,2,0,0,0
63725660,32.38738436453771,-117.07660126248653,18.998861,-16.450605,-0.0,4.6182313,-7.235334,-1.7869354,-0.73069626,1.2555501,1.5648109,0.0,2,0,0,0
63926448,32.387393161335616,-117.07661674603617,19.249765,-16.179304,-0.0,5.205541,-6.938494,-1.953748,-0.70559746,1.2565801,1.5652202,0.0,2,0,0,0
64134463,32.38740335604036,-117.07663192191495,19.617098,-15.791677,-0.0,5.766277,-6.4731746,-1.9856776,-0.59458023,1.2469665,1.5649679,0.0,2,0,0,0
64335248,32.38741412798856,-117.07664540525016,20.00695,-15.382118,-0.0,6.2287593,-5.9364643,-1.7569718,-0.53922725,1.2475294,1.5650008,0.0,2,0,0,0
64535248,32.38742583787766,-117.07665775208926,20.30934,-15.059729,-0.0,6.805893,-5.499069,-1.7152421,-0.52680814,1.2479815,1.5650345,0.0,2,0,0,0
64744048,32.387438932899656,-117.07666968491465,20.572073,-14.777288,-0.0,7.1115675,-5.1305037,-1.4953358,-0.5358569,1.2486548,1.564904,0.0,2,0,0,0
64944053,32.38745191409319,-117.07668053668657,20.823397,-14.505926,-0.0,7.2922173,-4.953049,-1.4907308,-0.5430682,1.2488886,1.5649523,0.0,2,0,0,0
65144848,32.38746514726653,-117.07669119213712,21.109303,-14.198959,-0.0,7.4158397,-4.865303,-1.5707164,-0.5465708,1.2489853,1.565279,0.0,2,0,0,0
65352848,32.38747901244808,-117.0767022091631,21.47703,-13.812231,-0.0,7.4762616,-4.79086,-1.4992733,-0.5491499,1.2495238,1.5654416,0.0,2,0,0,0
65552850,32.38749254899122,-117.07671275691102,21.837198,-13.4321575,-0.0,7.565656,-4.7801094,-1.4927433,-0.5499205,1.24967,1.5654639,0.0,2,0,0,0
65753648,32.38750635527599,-117.07672337807382,22.203745,-13.0453205,-0.0,7.6227913,-4.7783165,-1.486409,-0.5508259,1.2497758,1.565505,0.0,2,0,0,0
65961648,32.387520857635934,-117.07673444531478,22.581028,-12.648426,-0.0,7.7118034,-4.80355,-1.4553046,-0.5523234,1.2502592,1.5656797,0.0,2,0,0,0
66162448,32.38753496996597,-117.076745228928,22.945723,-12.263491,-0.0,7.743725,-4.848633,-1.4183629,-0.5552912,1.2503378,1.5657309,0.0,2,0,0,0
66362448,32.387549147219794,-117.0767561022673,23.302053,-11.886904,-0.0,7.793977,-4.907288,-1.3844794,-0.5580335,1.2503796,1.5660665,0.0,2,0,0,0
66571248,32.387564041011935,-117.07676766869153,23.685772,-11.483292,-0.0,7.8572726,-4.942006,-1.3796004,-0.55902845,1.2507606,1.5661789,0.0,2,0,0,0
66771283,32.387578397994474,-117.07677882453132,24.096462,-11.052593,-0.0,7.8958936,-5.005067,-1.4315554,-0.5609028,1.2508295,1.5664932,0.0,2,0,0,0
66972048,32.38759285626569,-117.07678997257474,24.527645,-10.601707,-0.0,7.905864,-4.987063,-1.2900507,-0.56114674,1.2508502,1.5664768,0.0,2,0,0,0
67180050,32.387607842476115,-117.07680156690023,24.935669,-10.173687,-0.0,7.9261947,-5.00948,-1.2160987,-0.5604272,1.2512536,1.5662975,0.0,2,0,0,0
67380848,32.387622432310174,-117.07681279732061,25.2975,-9.79216,-0.0,7.9756923,-5.0415893,-1.2041155,-0.5615923,1.2512257,1.5666121,0.0,2,0,0,0
67580848,32.38763702876436,-117.07682403270103,25.69822,-9.37072,-0.0,8.034437,-5.0647664,-1.2501212,-0.56083816,1.2512268,1.5666128,0.0,2,0,0,0
67781648,32.38765175081303,-117.07683536904123,26.117504,-8.931881,-0.0,8.052757,-5.08376,-1.18019,-0.55894065,1.2511817,1.5665908,0.0,2,0,0,0
67981659,32.38766653433783,-117.07684667308763,26.491528,-8.537933,-0.0,8.113126,-5.108197,-1.1200777,-0.5579707,1.2511715,1.5665686,0.0,2,0,0,0
68190448,32.387682170889114,-117.07685838472176,26.85389,-8.155663,-0.0,8.187429,-5.1339116,-1.1184461,-0.55906785,1.2514623,1.5666574,0.0,2,0,0,0
68390448,32.38769726557105,-117.0768696228408,27.199978,-7.789646,-0.0,8.228273,-5.1651835,-1.1551027,-0.56180394,1.2514746,1.5666189,0.0,2,0,0,0
68591247,32.3877124627249,-117.0768809686028,27.564228,-7.4053307,-0.0,8.260487,-5.2076745,-1.210611,-0.56372654,1.2514347,1.5665601,0.0,2,0,0,0
68799248,32.387728214645016,-117.07689282591411,27.952114,-6.9970436,-0.0,8.307312,-5.226373,-1.2416672,-0.563316,1.2517189,1.5666059,0.0,2,0,0,0
68999248,32.387743435261974,-117.07690429882334,28.322662,-6.606407,-0.0,8.361985,-5.2451987,-1.2924594,-0.56264794,1.2516242,1.5664854,0.0,2,0,0,0
69200048,32.387758860789845,-117.07691582869506,28.693394,-6.215927,-0.0,8.41168,-5.232671,-1.3126944,-0.5607241,1.2515447,1.5666864,0.0,2,0,0,0
69400049,32.38777433201319,-117.07692722913617,29.080513,-5.809246,-0.0,8.458389,-5.216806,-1.2960072,-0.5563294,1.2514296,1.5665152,0.0,2,0,0,0
69608848,32.38779048740651,-117.07693908219979,29.465256,-5.4037056,-0.0,8.480171,-5.214694,-1.3438646,-0.55420464,1.2516186,1.5664512,0.0,2,0,0,0
69808848,32.38780598699952,-117.07695037279599,29.823101,-5.0262527,-0.0,8.465354,-5.180587,-1.2845049,-0.55550617,1.2515502,1.5666012,0.0,2,0,0,0
70009648,32.38782154295721,-117.0769615782846,30.171158,-4.6586037,-0.0,8.465242,-5.1547437,-1.3127154,-0.5591567,1.2514518,1.5664033,0.0,2,0,0,0
70217648,32.38783766030244,-117.07697317245004,30.508705,-4.3018,-0.0,8.467438,-5.158019,-1.367759,-0.5627022,1.2517023,1.5660268,0.0,2,0,0,0
70418448,32.38785315982393,-117.07698442482878,30.83741,-3.956459,-0.0,8.46005,-5.1638627,-1.4623457,-0.56031466,1.2515998,1.565855,0.0,2,0,0,0
70618451,32.38786857762653,-117.07699569317705,31.175034,-3.604725,-0.0,8.470214,-5.2085133,-1.5252888,-0.5607328,1.2514914,1.5660063,0.0,2,0,0,0
70827248,32.38788466903207,-117.07700753208641,31.527903,-3.239954,-0.0,8.533834,-5.245929,-1.5485733,-0.55712134,1.2516912,1.5659268,0.0,2,0,0,0
71027248,32.387900223062786,-117.0770189341846,31.863243,-2.894226,-0.0,8.572973,-5.2879887,-1.5803837,-0.5561457,1.2516395,1.5660331,0.0,2,0,0,0
71228848,32.38791596131732,-117.07703046946031,32.20302,-2.546074,-0.0,8.554968,-5.309711,-1.6097232,-0.55692446,1.251575,1.5660913,0.0,2,0,0,0
71428848,32.387931534660346,-117.07704190406746,32.531967,-2.2113037,-0.0,8.556859,-5.3237395,-1.663304,-0.5586141,1.2515345,1.5661279,0.0,2,0,0,0
71637648,32.38794769347329,-117.07705382436791,32.871178,-1.8686562,-0.0,8.533628,-5.311402,-1.6972737,-0.5597127,1.2517971,1.5659192,0.0,2,0,0,0
71837648,32.38796321521759,-117.07706521400962,33.198055,-1.5396767,-0.0,8.581229,-5.3127475,-1.7919647,-0.56299895,1.251787,1.5656432,0.0,2,0,0,0
72039248,32.38797887548936,-117.07707677176725,33.540474,-1.1964569,-0.0,8.567554,-5.3537154,-1.7002122,-0.5661333,1.2517678,1.5656751,0.0,2,0,0,0
72247248,32.38799501481219,-117.07708887441046,33.87491,-0.8621292,-0.0,8.5850315,-5.4392934,-2.0046062,-0.56608075,1.2521105,1.5652586,0.0,2,0,0,0
72448048,32.38801062176882,-117.07710062031592,34.254436,-0.4836235,-0.0,8.578302,-5.4276648,-2.1281712,-0.5644449,1.2521282,1.565319,0.0,2,0,0,0
72648052,32.38802608031548,-117.07711223630183,34.643806,-0.09763718,-0.0,8.5168915,-5.3890214,-2.0457597,-0.5660899,1.2521596,1.5650673,0.0,2,0,0,0
72856848,32.38804205846352,-117.07712432741882,34.993248,0.24810028,-0.0,8.459715,-5.4375014,-2.0777702,-0.63675404,1.2524564,1.5649421,0.0,2,0,0,0
73056848,32.38805721915882,-117.07713616323935,35.32135,0.57222366,-0.0,8.326481,-5.6433268,-2.2231622,-0.7468457,1.2524662,1.5647256,0.0,2,0,0,0
73257648,32.38807203472785,-117.0771485744915,35.70666,0.9534874,-0.0,8.039102,-5.980124,-2.3979878,-0.8891392,1.2525057,1.5645267,0.0,2,0,0,0
73465648,32.38808651882061,-117.07716231645796,36.145615,1.3877258,-0.0,7.491587,-6.416472,-2.2675564,-1.0432941,1.2529017,1.5644256,0.0,2,0,0,0
73666448,32.38809942467717,-117.0771766904401,36.526222,1.7628403,-0.0,6.847918,-6.945917,-2.142388,-1.1190556,1.2530406,1.5642298,0.0,2,0,0,0
73866448,32.388110976864844,-117.07719211090809,36.79286,2.0235252,-0.0,6.1396523,-7.520974,-1.8098485,-1.1086795,1.253269,1.564321,0.0,2,0,0,0
74075252,32.388121680917905,-117.07720939441259,36.903755,2.130703,-0.0,5.4535947,-8.025317,-1.3048427,-1.1032908,1.2538459,1.5640075,0.0,2,0,0,0
