timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
45170051,40.55249961324862,-74.66323845075195,3.1213155,-0.0,0.002289145,-0.010284491,-0.105949834,3.075201,2.2344575,2.8716888,0.0,2,0,0,0
45893299,40.552499350449764,-74.66323746044644,3.1722925,-0.0,-0.024113461,0.012135128,-0.104685634,3.0601223,1.864633,2.8585014,0.0,2,0,0,0
46098212,40.55249922140248,-74.66323689516813,3.1835482,-0.0,-0.033524092,0.018573174,-0.105030365,3.0549455,1.8193833,2.856167,0.0,2,0,0,0
46298884,40.552499087553734,-74.66323628329305,3.1951175,-0.0,-0.04200822,0.026270343,-0.103305064,3.0501661,1.7868085,2.854273,0.0,2,0,0,0
46499656,40.5524989487749,-74.66323567508807,3.2058043,-0.0,-0.049142044,0.032776274,-0.100843914,3.0455382,1.7622999,2.8537476,0.0,2,0,0,0
46704465,40.55249879463464,-74.6632350414425,3.2127304,-0.0,-0.05705619,0.037821915,-0.09625757,3.0409174,1.7434282,2.852543,0.0,2,0,0,0
46905462,40.552498632892146,-74.6632344005424,3.2199023,-0.0,-0.06582617,0.04466427,-0.092436396,3.0364478,1.728336,2.8514025,0.0,2,0,0,0
47110220,40.55249845560022,-74.663233781111,3.229889,-0.0,-0.075251676,0.048765823,-0.088370204,3.0319867,1.716153,2.850418,0.0,2,0,0,0
47310889,40.5524983045959,-74.66323318453216,3.2378907,-0.0,-0.08183997,0.05184109,-0.08592321,3.0277314,1.7061797,2.8495617,0.0,2,0,0,0
47515861,40.55249816810519,-74.66323255170248,3.2487392,-0.0,-0.08765272,0.058084186,-0.08764009,3.0234447,1.6981132,2.849892,0.0,2,0,0,0
47716620,40.55249806049993,-74.6632319258441,3.2640138,-0.0,-0.09138586,0.063830055,-0.087282985,3.0192459,1.6911925,2.8491988,0.0,2,0,0,0
47917501,40.552497993492665,-74.66323134707281,3.2726185,-0.0,-0.09186019,0.06730342,-0.08595461,3.0152335,1.6853294,2.8485708,0.0,2,0,0,0
48118233,40.552497933771626,-74.6632307802511,3.2812877,-0.0,-0.09451116,0.0703443,-0.08436316,3.0111208,1.6803398,2.847993,0.0,2,0,0,0
48318850,40.552497902248035,-74.66323022475459,3.2862773,-0.0,-0.09447283,0.074045464,-0.08243626,3.0071402,1.6761012,2.8483443,0.0,2,0,0,0
48523815,40.5524979155842,-74.66322966833317,3.2942593,-0.0,-0.091328375,0.07829533,-0.08290888,3.0031788,1.6724905,2.8478298,0.0,2,0,0,0
48724658,40.55249793957732,-74.6632291106475,3.3032181,-0.0,-0.089624606,0.08281401,-0.083872035,2.9993143,1.6693983,2.8473425,0.0,2,0,0,0
48925556,40.552497971046165,-74.66322855317844,3.313178,-0.0,-0.08855576,0.08718911,-0.085366026,2.9954846,1.6667728,2.8477426,0.0,2,0,0,0
49130287,40.55249801228937,-74.6632280346368,3.327416,-0.0,-0.08681533,0.08979061,-0.08778185,2.991478,1.664782,2.8474417,0.0,2,0,0,0
49330255,40.55249806448906,-74.66322755134418,3.3427918,-0.0,-0.08495997,0.09289915,-0.09040824,2.987782,1.6628463,2.8469896,0.0,2,0,0,0
49531009,40.552498122321545,-74.66322707582673,3.3526506,-0.0,-0.082800545,0.09529229,-0.09096486,2.9841783,1.6611755,2.8474069,0.0,2,0,0,0
49731841,40.55249817966478,-74.66322658603868,3.3647914,-0.0,-0.080593325,0.09907952,-0.09318788,2.9806705,1.6597258,2.84697,0.0,2,0,0,0
49932601,40.552498217609205,-74.66322612093424,3.380986,-0.0,-0.07994224,0.10219994,-0.09564085,2.9772213,1.65846,2.8465407,0.0,2,0,0,0
50137403,40.552498260917105,-74.66322564884405,3.3941412,-0.0,-0.07838451,0.106135674,-0.097532615,2.97366,1.6573564,2.846962,0.0,2,0,0,0
50338211,40.552498249386744,-74.6632251524992,3.4079146,-0.0,-0.0811687,0.111947514,-0.10041321,2.9703522,1.6563874,2.8465302,0.0,2,0,0,0
50539043,40.55249825331277,-74.66322473227652,3.4216356,-0.0,-0.08296849,0.11236739,-0.10248478,2.967001,1.6555185,2.8460946,0.0,2,0,0,0
50743878,40.55249829252064,-74.66322432152714,3.4355123,-0.0,-0.08105982,0.11298199,-0.10459454,2.963535,1.6550839,2.8466709,0.0,2,0,0,0
50944609,40.55249834681448,-74.6632239393232,3.4462,-0.0,-0.078807116,0.114062384,-0.10573329,2.9601576,1.6544188,2.8462532,0.0,2,0,0,0
51149437,40.55249841427958,-74.66322354659198,3.4564984,-0.0,-0.07577146,0.116354465,-0.10815008,2.9569666,1.6538507,2.8458545,0.0,2,0,0,0
51350166,40.552498480681294,-74.66322315425161,3.469748,-0.0,-0.073464766,0.118897855,-0.11173927,2.9538484,1.6532816,2.8454373,0.0,2,0,0,0
51554863,40.55249848380822,-74.6632227714198,3.4830263,-0.0,-0.07579022,0.12093796,-0.11389664,2.9506671,1.6531042,2.8460112,0.0,2,0,0,0
51755836,40.55249850296025,-74.6632224242843,3.4961426,-0.0,-0.07563708,0.12183538,-0.11512862,2.9475954,1.6526465,2.8456125,0.0,2,0,0,0
51956609,40.552498537144665,-74.66322212025834,3.5090084,-0.0,-0.074382804,0.12107177,-0.116119,2.9445891,1.6522545,2.845223,0.0,2,0,0,0
52157290,40.552498519615796,-74.66322181691956,3.521348,-0.0,-0.07723047,0.12114668,-0.11719513,2.9415839,1.65185,2.8456516,0.0,2,0,0,0
52358119,40.55249852968025,-74.66322151446545,3.5345879,-0.0,-0.07682799,0.12164966,-0.118388824,2.9386656,1.6514707,2.8452697,0.0,2,0,0,0
52563025,40.55249856804655,-74.66322121136933,3.5484176,-0.0,-0.07443487,0.121734925,-0.12034695,2.9359171,1.6511108,2.8448968,0.0,2,0,0,0
52763837,40.55249860306724,-74.66322091699588,3.5641878,-0.0,-0.071761854,0.121611506,-0.12267055,2.9331014,1.6507652,2.8453336,0.0,2,0,0,0
52964612,40.55249866678282,-74.66322059856667,3.5797677,-0.0,-0.0679736,0.12349314,-0.1261507,2.9303632,1.6504393,2.8449621,0.0,2,0,0,0
